62,334,285,243
146,727,678,423
95,537,428,426
534,733,717,562
108,834,738,564
456,990,942,612
10,161,153,84
99,837,828,270
209,990,978,353
12,837,808,389
115,670,580,475
51,117,108,78
36,691,628,435
129,820,748,513
291,853,772,570
151,809,788,352
216,534,495,345
303,820,774,487
187,429,396,286
14,238,231,105
162,430,412,240
204,912,876,456
272,836,740,584
320,886,758,664
51,165,162,72
80,246,213,179
135,870,855,330
4,932,918,330
132,561,473,418
180,784,696,532
204,738,621,555
332,786,674,600
46,188,168,126
120,909,741,702
330,891,792,627
470,970,900,660
96,320,264,248
54,683,651,350
142,717,576,565
14,207,183,140
119,385,378,168
261,720,717,282
166,393,337,300
127,617,590,316
126,636,607,329
230,621,552,437
252,952,924,448
36,591,590,103
209,784,721,488
141,699,582,528
421,852,813,538
191,921,744,722
158,342,285,275
29,99,92,60
90,720,675,405
639,990,863,838
6,48,45,27
9,210,172,161
8,356,344,164
100,582,568,246
192,784,712,504
398,808,734,580
36,232,228,88
20,223,192,159
207,825,720,582
26,208,195,117
34,452,450,108
7,896,895,134
30,552,543,201
25,300,250,225
62,345,306,233
265,751,730,376
288,712,660,460
35,98,92,59
130,780,625,615
20,760,755,205
160,443,379,332
63,809,750,476
135,738,642,519
81,215,206,120
172,688,646,394
16,413,382,245
30,160,142,108
16,272,264,120
48,160,132,124
54,348,342,132
48,318,300,174
45,612,600,237
53,550,445,428
42,121,120,49
360,641,578,489
20,160,150,90
72,213,206,109
32,212,200,116
16,608,604,164
120,640,568,432
54,648,540,486
36,136,132,64
107,292,236,235
12,534,516,246
72,495,471,258
120,510,430,380
243,498,424,395
54,765,708,453
240,957,885,582
25,564,561,142
612,984,900,768
392,976,903,633
398,708,702,416
161,658,588,441
408,656,600,512
113,982,848,697
10,233,225,108
105,840,828,297
189,714,693,336
94,752,705,423
72,612,488,484
140,392,368,236
150,648,531,501
493,995,934,662
79,974,823,716
663,858,820,719
502,938,804,756
177,820,802,345
252,726,720,294
20,304,276,192
5,515,470,320
151,425,352,332
303,457,396,394
254,718,666,450
9,558,552,177
235,485,450,330
38,456,380,342
58,986,957,435
257,618,545,450
218,979,948,459
33,821,747,515
40,446,384,318
66,558,552,180
93,378,302,301
11,622,596,307
291,685,666,370
86,688,645,387
63,621,545,427
240,846,772,542
50,334,328,128
56,371,350,203
92,376,336,252
153,684,657,342
45,684,621,432
65,988,897,624
230,940,840,630
80,960,800,720
126,207,183,168
300,1000,825,775
620,972,863,801
15,945,756,744
128,534,515,261
167,610,584,319
4,770,690,504
60,776,618,614
146,921,750,713
606,914,792,788
47,233,194,176
186,384,332,298
54,459,366,363
80,606,494,468
396,688,652,480
107,766,654,555
422,865,753,666
28,336,280,252
22,536,534,120
14,168,140,126
28,791,783,246
176,678,662,300
74,888,740,666
22,176,165,99
2,466,459,165
22,986,984,180
10,677,661,278
30,699,675,324
64,878,862,332
101,695,617,467
360,890,825,575
37,174,141,136
64,503,498,159
72,464,456,176
70,994,847,721
2,206,188,128
185,472,465,222
165,496,477,262
93,843,830,304
66,830,828,164
24,480,472,176
144,426,412,218
99,638,627,242
31,508,487,250
105,746,737,252
232,825,816,313
126,973,861,658
17,39,36,26
47,457,456,90
63,238,231,112
60,162,144,114
108,360,297,279
239,452,431,296
12,40,33,31
86,344,323,197
400,768,744,472
221,988,949,494
462,759,671,616
276,974,830,720
614,852,776,726
